Name	Type	Data
npapp305	Host (A)	10.4.205.187
npapp306	Host (A)	10.4.205.188
npapp307	Host (A)	10.4.205.189
npapp308	Host (A)	10.4.205.190
(same as parent folder)	Host (A)	10.10.255.20
amazon-aec2f4c7	Host (A)	10.10.255.20
agcn1-ut01	Host (A)	172.17.3.2
gc-qc	Host (A)	172.17.3.3
agcn1-wkeng213	Host (A)	172.17.3.4
agcn1-wkeng246	Host (A)	172.17.3.5
meeting	Host (A)	172.17.3.8
agcn1-laptop10	Host (A)	172.17.3.10
agcn1-ut02	Host (A)	172.17.3.32
agcn1-wkeng196	Host (A)	172.17.3.64
fileserver	Host (A)	172.17.3.100
nas01	Host (A)	172.17.3.100
agcn1-cmmisrv	Host (A)	172.17.3.110
agcn1-ap01	Host (A)	172.17.5.100
agcn1-wkeng135	Host (A)	172.17.7.51
agcn1-wkeng244	Host (A)	172.17.7.52
agcn1-wkeng112	Host (A)	172.17.7.65
agcn1-laptop90	Host (A)	172.17.10.90
agcn1-laptop91	Host (A)	172.17.10.105
kevinqu	Host (A)	172.17.10.106
agcn1-laptop95	Host (A)	172.17.10.112
agcn1-laptop52	Host (A)	172.17.10.114
agcn1-wkeng108	Host (A)	172.17.51.50
agcn1-wkeng122	Host (A)	172.17.51.52
agcn1-laptop104	Host (A)	172.17.51.60
agcn1-wkeng115	Host (A)	172.17.51.93
agcn1-laptop102	Host (A)	172.17.52.2
agcn1-wkeng121	Host (A)	172.17.52.3
agcn1-wkadm03	Host (A)	172.17.52.51
AGCN1-LAPTOP46	Host (A)	172.17.53.52
agcn1-wkeng142	Host (A)	172.17.53.53
agcn1-laptop87	Host (A)	172.17.53.85
agcn1-wkeng137	Host (A)	172.17.53.90
agcn1-laptop84	Host (A)	172.17.53.152
agcn1-wkeng163	Host (A)	172.17.101.78
agcn1-wkeng238	Host (A)	172.17.101.85
agcn1-wkeng255	Host (A)	172.17.101.88
agcn1-wkeng267	Host (A)	172.17.101.98
agcn1-wkeng243	Host (A)	172.17.101.104
agcn1-laptop08	Host (A)	172.17.101.106
agcn1-laptop37	Host (A)	172.17.101.107
agcn1-wkeng207	Host (A)	172.17.101.110
agcn1-laptop63	Host (A)	172.17.101.119
agcn1-laptop53	Host (A)	172.17.101.120
agcn1-wkeng45	Host (A)	172.17.101.122
agcn1-wkeng218	Host (A)	172.17.101.123
agcn1-wkeng190	Host (A)	172.17.101.124
agcn1-wkeng254	Host (A)	172.17.101.125
agcn1-wkeng120	Host (A)	172.17.101.126
agcn1-wkeng211	Host (A)	172.17.101.127
agcn1-wkeng176	Host (A)	172.17.101.128
agcn1-wkeng134	Host (A)	172.17.101.129
agcn1-wkeng158	Host (A)	172.17.101.130
agcn1-wkeng144	Host (A)	172.17.101.132
agcn1-wkeng21	Host (A)	172.17.101.132
agcn1-wkeng242	Host (A)	172.17.101.133
agcn1-wkeng113	Host (A)	172.17.101.134
agcn1-wkeng309	Host (A)	172.17.101.135
agcn1-wkeng281	Host (A)	172.17.101.136
agcn1-wkeng187	Host (A)	172.17.101.137
agcn1-laptop65	Host (A)	172.17.101.138
agcn1-wkeng74	Host (A)	172.17.101.139
agcn1-laptop65	Host (A)	172.17.101.140
agcn1-wkeng222	Host (A)	172.17.101.141
agcn1-wkeng204	Host (A)	172.17.101.143
agcn1-laptop40	Host (A)	172.17.101.144
agcn1-laptop64	Host (A)	172.17.101.146
agcn1-laptop96	Host (A)	172.17.101.147
agcn1-wkeng216	Host (A)	172.17.101.148
agcn1-wkeng170	Host (A)	172.17.101.149
agcn1-laptop64	Host (A)	172.17.101.151
agcn1-laptop40	Host (A)	172.17.101.154
agcn1-wkeng209	Host (A)	172.17.101.158
agcn1-wkeng295	Host (A)	172.17.101.159
agcn1-wkeng156	Host (A)	172.17.101.173
agcn1-wkeng252	Host (A)	172.17.101.176
agcn1-wkeng306	Host (A)	172.17.101.182
agcn1-wkeng168	Host (A)	172.17.101.188
agcn1-wkeng305	Host (A)	172.17.101.208
agcn1-wkeng271	Host (A)	172.17.101.209
agcn1-wkeng280	Host (A)	172.17.101.209
agcn1-wkeng253	Host (A)	172.17.101.219
agcn1-wkeng224	Host (A)	172.17.101.222
agcn1-laptop41	Host (A)	172.17.101.246
agcn1-laptop93	Host (A)	172.17.101.248
agcn1-laptop37	Host (A)	172.17.101.252
agcn1-laptop48	Host (A)	172.17.102.51
agcn1-wkeng229	Host (A)	172.17.102.54
agcn1-wkeng208	Host (A)	172.17.102.55
agcn1-laptop94	Host (A)	172.17.102.60
AGCN1-LATOP55	Host (A)	172.17.102.60
agcn1-wkeng150	Host (A)	172.17.102.64
agcn1-wkeng110	Host (A)	172.17.102.66
agcn1-wkeng111	Host (A)	172.17.102.67
agcn1-wkeng301	Host (A)	172.17.102.78
agcn1-laptop83	Host (A)	172.17.103.58
agcn1-wkeng189	Host (A)	172.17.103.76
agcn1-wkeng177	Host (A)	172.17.103.105
agcn1-laptop81	Host (A)	172.17.103.106
agcn1-wkeng103	Host (A)	172.17.103.128
kevinqu	Host (A)	172.17.103.160
agcn1-latop54	Host (A)	172.17.103.166
agcn1-wkeng49	Host (A)	172.17.103.170
agcn1-wkeng161	Host (A)	172.17.103.173
agcn1-laptop35	Host (A)	172.17.103.178
agcn1-wkeng117	Host (A)	172.17.103.179
agcn1-wkeng78	Host (A)	172.17.103.182
agcn1-wkeng212	Host (A)	172.17.103.183
agcn1-wkeng205	Host (A)	172.17.103.184
agcn1-wkeng101	Host (A)	172.17.103.185
agcn1-wkeng241	Host (A)	172.17.103.186
agcn1-wkeng283	Host (A)	172.17.103.187
agcn1-wkeng173	Host (A)	172.17.103.189
agcn1-wkeng194	Host (A)	172.17.103.190
agcn1-wkeng185	Host (A)	172.17.103.191
agcn1-wkeng166	Host (A)	172.17.103.192
agcn1-wkeng298	Host (A)	172.17.103.193
agcn1-wkeng186	Host (A)	172.17.103.194
agcn1-wkeng174	Host (A)	172.17.103.195
agcn1-wkeng133	Host (A)	172.17.103.197
