mac:e0db.551c.f160----info['172.17.3.108', '2015-02-10', 'Vlan216', 'null']
mac:3417.ebb1.0bf4----info['172.17.105.120', '2015-02-10', 'Vlan215', 'null']
mac:bc30.5ba7.8b64----info['172.17.110.95', '2015-02-10', 'Vlan225', 'agcn1-wkeng89']
mac:0024.e89a.6431----info['172.17.101.252', '2015-02-10', 'Vlan211', 'agcn1-laptop37']
mac:90b1.1c9d.394f----info['172.17.103.212', '2015-02-10', 'Vlan212', 'agcn1-wkeng175']
mac:3417.ebc2.bf7b----info['172.17.103.187', '2015-02-10', 'Vlan212', 'agcn1-wkeng283']
mac:000c.2976.a061----info['172.17.101.44', '2015-02-10', 'Vlan211', 'null']
mac:000c.2942.867a----info['172.17.104.27', '2015-02-10', 'Vlan210', 'null']
mac:3417.ebd1.292e----info['172.17.104.76', '2015-02-10', 'Vlan210', 'agcn1-wkeng302']
mac:346b.d389.4c18----info['172.17.10.88', '2015-02-10', 'Vlan220', 'null']
mac:0c4d.e9ba.9239----info['172.17.102.56', '2015-02-10', 'Vlan214', 'null']
mac:0060.6f6a.46e5----info['172.17.5.11', '2015-02-10', 'Vlan205', 'null']
mac:b8ac.6f2e.8a06----info['172.17.111.50', '2015-02-10', 'Vlan226', 'null']
mac:b8ca.3a78.36e7----info['172.17.105.135', '2015-02-10', 'Vlan215', 'agcn1-wkeng201']
mac:3417.ebc2.c4d4----info['172.17.110.107', '2015-02-10', 'Vlan225', 'agcn1-wkeng285']
mac:f8b1.569a.11e1----info['172.17.110.126', '2015-02-10', 'Vlan225', 'agcn1-wkeng236']
mac:7831.c1c5.15d0----info['172.17.104.73', '2015-02-10', 'Vlan210', 'null']
mac:3417.ebd1.28d5----info['172.17.105.177', '2015-02-10', 'Vlan215', 'agcn1-wkeng303']
mac:000c.29a1.f44d----info['172.17.101.11', '2015-02-10', 'Vlan211', 'null']
mac:0448.9a7e.dd42----info['172.17.103.216', '2015-02-10', 'Vlan212', 'null']
mac:c81f.66ed.aa9d----info['172.17.3.112', '2015-02-10', 'Vlan216', 'null']
mac:000c.297f.898e----info['172.17.101.13', '2015-02-10', 'Vlan211', 'null']
mac:b8ca.3aa9.b07b----info['172.17.110.159', '2015-02-10', 'Vlan225', 'agcn1-wkeng219']
mac:3417.eba4.b4de----info['172.17.103.209', '2015-02-10', 'Vlan212', 'agcn1-wkeng263']
mac:b8ca.3aa9.a9a3----info['172.17.101.141', '2015-02-10', 'Vlan211', 'agcn1-wkeng222']
mac:8056.f23a.f357----info['172.17.101.151', '2015-02-10', 'Vlan211', 'agcn1-laptop64']
mac:b8ca.3a90.1633----info['172.17.104.107', '2015-02-10', 'Vlan210', 'agcn1-wkeng202']
mac:90b1.1c95.3ad5----info['172.17.103.214', '2015-02-10', 'Vlan212', 'agcn1-wkeng167']
mac:3417.eba4.ad5b----info['172.17.101.31', '2015-02-10', 'Vlan211', 'null']
mac:0026.b9de.bcca----info['172.17.111.65', '2015-02-10', 'Vlan226', 'agcn1-laptop101']
mac:000c.2996.d35a----info['172.17.105.13', '2015-02-10', 'Vlan215', 'null']
mac:000c.2907.4239----info['172.17.101.12', '2015-02-10', 'Vlan211', 'null']
mac:000c.29cf.bf16----info['172.17.101.23', '2015-02-10', 'Vlan211', 'null']
mac:3417.eba1.dc88----info['172.17.110.101', '2015-02-10', 'Vlan225', 'agcn1-wkeng260']
mac:3417.ebc2.c340----info['172.17.104.63', '2015-02-10', 'Vlan210', 'agcn1-wkeng286']
mac:b8ca.3a90.168d----info['172.17.101.158', '2015-02-10', 'Vlan211', 'agcn1-wkeng209']
mac:000c.291d.0c76----info['172.17.101.42', '2015-02-10', 'Vlan211', 'null']
mac:0060.6f4d.300f----info['172.17.5.8', '2015-02-10', 'Vlan205', 'null']
mac:0023.14b1.e844----info['172.17.104.105', '2015-02-10', 'Vlan210', 'agcn1-wkeng18']
mac:d0c7.8930.8bc1----info['172.17.1.14', '2015-02-10', 'Vlan218', 'null']
mac:000c.2995.4a12----info['172.17.102.14', '2015-02-10', 'Vlan214', 'null']
mac:5c26.0a4b.ba8b----info['172.17.111.62', '2015-02-10', 'Vlan226', 'agcn1-wkeng36']
mac:1803.7331.0ce3----info['172.17.105.158', '2015-02-10', 'Vlan215', 'agcn1-wkeng147']
mac:00e0.4c68.823c----info['172.17.105.63', '2015-02-10', 'Vlan215', 'agcn1-laptop95']
mac:38bc.1a00.3917----info['172.17.105.77', '2015-02-10', 'Vlan215', 'null']
mac:000c.29fb.9cfb----info['172.17.3.3', '2015-02-10', 'Vlan216', 'null']
mac:d0df.9acf.7ffb----info['172.17.101.154', '2015-02-10', 'Vlan211', 'agcn1-laptop40']
mac:000c.2906.4dd0----info['172.17.110.11', '2015-02-10', 'Vlan225', 'null']
mac:60d9.c78d.cf38----info['172.17.103.220', '2015-02-10', 'Vlan212', 'null']
