mac:e0db.551c.f160----info{'IP': '172.17.3.108', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:3417.ebb1.0bf4----info{'IP': '172.17.105.120', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:bc30.5ba7.8b64----info{'IP': '172.17.110.95', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:0024.e89a.6431----info{'IP': '172.17.101.252', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c9d.394f----info{'IP': '172.17.103.212', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:3417.ebc2.bf7b----info{'IP': '172.17.103.187', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:000c.2976.a061----info{'IP': '172.17.101.44', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.2942.867a----info{'IP': '172.17.104.27', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:3417.ebd1.292e----info{'IP': '172.17.104.76', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:346b.d389.4c18----info{'IP': '172.17.10.88', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:0c4d.e9ba.9239----info{'IP': '172.17.102.56', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:0060.6f6a.46e5----info{'IP': '172.17.5.11', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:b8ac.6f2e.8a06----info{'IP': '172.17.111.50', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:b8ca.3a78.36e7----info{'IP': '172.17.105.135', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebc2.c4d4----info{'IP': '172.17.110.107', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:f8b1.569a.11e1----info{'IP': '172.17.110.126', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:b8ee.6504.0f57----info{'IP': '172.17.10.90', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:3417.ebd1.28d5----info{'IP': '172.17.105.177', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.29a1.f44d----info{'IP': '172.17.101.11', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0448.9a7e.dd42----info{'IP': '172.17.103.216', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:c81f.66ed.aa9d----info{'IP': '172.17.3.112', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:000c.297f.898e----info{'IP': '172.17.101.13', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3aa9.b07b----info{'IP': '172.17.110.159', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:b8ca.3aa9.a9a3----info{'IP': '172.17.101.141', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:8056.f23a.f357----info{'IP': '172.17.101.151', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3a90.1633----info{'IP': '172.17.104.107', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:000c.291a.2bf6----info{'IP': '172.17.101.28', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c95.3ad5----info{'IP': '172.17.103.214', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:3417.eba4.ad5b----info{'IP': '172.17.101.31', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0026.b9de.bcca----info{'IP': '172.17.111.65', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:000c.2996.d35a----info{'IP': '172.17.105.13', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:2037.066e.2141----info{'IP': '172.17.1.8', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:000c.29cf.bf16----info{'IP': '172.17.101.23', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.eba1.dc88----info{'IP': '172.17.110.101', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:3417.ebc2.c340----info{'IP': '172.17.104.63', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:b8ca.3a90.168d----info{'IP': '172.17.101.158', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.291d.0c76----info{'IP': '172.17.101.42', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0060.6f4d.300f----info{'IP': '172.17.5.8', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:0023.14b1.e844----info{'IP': '172.17.104.105', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:d0c7.8930.8bc1----info{'IP': '172.17.1.14', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:000c.2995.4a12----info{'IP': '172.17.102.14', 'product': 'Vlan214', 'time': '2015-02-04'}
